ObservedAgentID;CounterpartyID;EnterpriseNationalIDflag;ENI;NatIdType;LEI;RACI;BCI;NPNI;HeadOfficeUndertakingID;ImmediateParentUndertakingID;UltimateParentUndertakingID;TypeofEntity;Enterprise;Name;Street;Streetnumber;City;NUTS;Postalcode;Country;Legalform;InstitutionalSector;EconomicActivity;StatusOfLegalProceedings;DateOfInitiationOfLegalProceedings;EnterpriseSize;DateOfEnterpriseSize;NumberOfEmployees;BalanceSheetTotal;AnnualTurnover;ProbabilityOfDefault;DefaultStatusOfTheCounterpartyAnaCredit;DateOfTheDefaultStatusOfTheCounterpartyAnaCredit
6305574;6305090;;462920226;BE_OND_CD;NotApplicable;6305090;;;NotRequired;NotRequired;NotRequired;LE;Y; ; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6305092;;323317032;FR_SIREN_CD;969500IKNV38EK1P8O50;6305092;;;NotRequired;NotRequired;NotRequired;LE;Y;ROTHSCHILD MARTIN MAUREL;29 AVENUE DE MESSINE;;PARIS;FR101;75008;FR;FR5306;S122_A;64_30;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6305094;;203201340;BE_OND_CD;NotApplicable;6305094;;;NotRequired;NotRequired;NotRequired;LE;Y; ; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6305234;;823129528;BE_OND_CD;967600GMGHUW52KNB022;6305234;;;NotRequired;NotRequired;NotRequired;LE;Y; ; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6305403;;B164067;LU_RCS_CD;529900CAZ40JSU39C209;6305403;;;NotRequired;NotRequired;NotRequired;LE;Y;LAVOREL GROUPE SA;41 AVENUE DE LA GARE;;LUXEMBOURG;LU000;1611;LU;EU100;S11;64_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6305425;;440250421;FR_SIREN_CD;549300EZRTRJ7YECKC95;6305425;;;NotRequired;NotRequired;NotRequired;LE;Y;SAPHIR;33 RUE NICOLO;;PARIS;FR101;75116;FR;FR5710;S11;64_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6305574;;877996092;BE_OND_CD;NotApplicable;6305574;;;6305092;NotRequired;NotRequired;LE;Y; ; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6305579;;512481797;FR_SIREN_CD;9695006BYQI8SOCLYM23;6305579;;;NotRequired;NotRequired;NotRequired;LE;Y;LORKA;12 RUE NOTRE DAME DES VICTOIRES;;PARIS;FR101;75002;FR;FR5499;S11;64_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6305674;;567701111;BE_OND_CD;9676005T4NRY57RIT148;6305674;;;NotRequired;NotRequired;NotRequired;LE;Y; ; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6305749;;507604562;BE_OND_CD;967600OYNPR1KIV6IR11;6305749;;;NotRequired;NotRequired;NotRequired;LE;Y; ; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6305972;;B135775;LU_RCS_CD;967600TZ4XI8JIYAF244;6305972;;;NotRequired;NotRequired;NotRequired;LE;Y;DF3I SA;12 C RUE GUILLAUME J. KROLL;;LUXEMBOURG;LU000;1882;LU;EU100;S11;64_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306027;;542016381;FR_SIREN_CD;N4JDFKKH2FTD8RKFXO39;6306027;;;NotRequired;NotRequired;NotRequired;LE;Y;CM-CIC SECURITIES;6 AVENUE DE PROVENCE;;PARIS;FR101;75009;FR;FR5599;S122_A;66_12;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306177;;522122563;FR_SIREN_CD;967600RMD9F5CVYMPK70;6306177;;;NotRequired;NotRequired;NotRequired;LE;Y;NLT 45;27 AVENUE BERNARD PALISSY;;SAINT-CLOUD;FR105;92210;FR;FR5710;S11;70_22;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306310;;B108295;LU_RCS_CD;5493001MQ3V3NE3GKW06;6306310;;;NotRequired;NotRequired;NotRequired;LE;Y;CB LUX SARL-FIS;15 BOULEVARD F.W. RAIFFEISEN;;LUXEMBOURG;LU000;2411;LU;LU03;S11;64_30;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306455;;B16593105;ES_NIF_CD;NotApplicable;6306455;;;6305674;NotRequired;NotRequired;LE;Y;EXTEND MINORQUE SL;PLAZA CARMEN 15;;MAHON;ES533;7701;ES;ESC07;S11;68_10;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306492;;843422767;FR_SIREN_CD;NotApplicable;6306492;;;NotRequired;NotRequired;NotRequired;LE;Y;ROMBAS;3 RUE DE MESSINE;;PARIS;FR101;75008;FR;FR6599;S11;66_30;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306582;;B136923;LU_RCS_CD;NotApplicable;6306582;;;NotRequired;NotRequired;NotRequired;LE;Y;DEVOS SA;10 RUE HENRI SCHNADT;;LUXEMBOURG;LU000;2530;LU;LU07;S11;64_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306586;;556961924;BE_OND_CD;967600MREKITPNNTV953;6306586;;;NotRequired;NotRequired;NotRequired;LE;Y; ; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6306720;;882253628;FR_SIREN_CD;NotApplicable;6306720;;;NotRequired;NotRequired;NotRequired;LE;Y;OCLAF74 SCI;74 RUE DU FAUBOURG ST.-HONORE;;PARIS;FR101;75008;FR;FR6540;S11;68_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306725;;744449858;BE_OND_CD;875500MLOBYTY6013P25;6306725;;;NotRequired;NotRequired;NotRequired;LE;Y; ; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6306729;;875004336;BE_OND_CD;549300PM4JWT03YKAR85;6306729;;;NotRequired;NotRequired;NotRequired;LE;Y; ; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6306735;;C89732;MT_CNUM_CD;NotApplicable;6306735;;;NotRequired;6306370;6306370;LE;Y;ZE QUEST LTD;GIUSEPPE CALI STREET LEVEL 5 CAROLINA COURT;;TA' XBIEX XBX 1425;MT001;XBX 1425;MT;EU100;S11;64_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306736;;C89733;MT_CNUM_CD;NotApplicable;6306736;;;NotRequired;6306370;6306370;LE;Y;ZE VENTURES LTD;GIUSEPPE CALI STREET LEVEL 5 CAROLINA COURT;;TA' XBIEX XBX 1425;MT001;XBX 1425;MT;EU100;S11;64_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306750;;840950471;FR_SIREN_CD;NotApplicable;6306750;;;NotRequired;NotRequired;NotRequired;LE;Y;TALVIEL 1 SCI;22 RUE DE TEHERAN;;PARIS;FR101;75008;FR;FR6540;S11;68_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306757;;840950810;FR_SIREN_CD;NotApplicable;6306757;;;NotRequired;NotRequired;NotRequired;LE;Y;TALVIEL 2 SCI;22 RUE DE TEHERAN;;PARIS;FR101;75008;FR;FR6540;S11;68_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306758;;841016512;FR_SIREN_CD;NotApplicable;6306758;;;NotRequired;NotRequired;NotRequired;LE;Y;TALVIEL 3 SCI;22 RUE DE TEHERAN;;PARIS;FR101;75008;FR;FR6540;S11;68_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306920;;485177216;FR_SIREN_CD;969500HUC67R1XHVKO88;6306920;;;NotRequired;NotRequired;NotRequired;LE;Y;ALMANACC SARL;45 RUE DE COURCELLES;;PARIS;FR101;75008;FR;FR5499;S11;64_30;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6307022;;881373177;BE_OND_CD;213800UY18C67U565L89;6307022;;;NotRequired;NotRequired;NotRequired;LE;Y; ; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6307148;;842020673;BE_OND_CD;875500RL264DHV1UKY75;6307148;;;NotRequired;NotRequired;NotRequired;LE;Y; ; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6307208;;876914246;BE_OND_CD;NotApplicable;6307208;;;NotRequired;NotRequired;NotRequired;LE;Y; ; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6307300;;795999816;BE_OND_CD;8755002K5CSH0EEMZZ71;6307300;;;NotRequired;NotRequired;NotRequired;LE;Y; ; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6307314;;846195435;BE_OND_CD;967600V51GITZ8DBTR92;6307314;;;NotRequired;NotRequired;NotRequired;LE;Y; ; ;; ; ; ;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6305748;; ; ;;6305748;;66100459067; ; ; ;NLE;N; ;RUE EMMANUEL VAN DRIESSCHE 47;;IXELLES; ;1050;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6306021;; ; ;;6306021;;; ; ; ;NLE;N; ;27 AVENUE BERNARD PALISSY;;SAINT CLOUD; ;92210;FR;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6306078;; ; ;;6306078;;; ; ; ;NLE;N; ;25 RUE VITAL;;PARIS 16; ;75116;FR;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6306221;; ; ;;6306221;;71012558368; ; ; ;NLE;N; ;AVENUE DES MYRTILLES 51;;UCCLE; ;1180;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6306370;;97957;GEN_NBR_ENTTY_CD;213800C9VLC7KSPFRB49;6306370;;;NotRequired;NotRequired;NotRequired;LE;Y;SMART ENERGIES LIMITED;SUITE 3, SECOND FLOORICOM HOUSE, 1/5 IRISH TOWN;;GIBRALTAR;GI;GX11 1AA;GI;RW100;S11;64_20;-5;NotRequired;0;NotApplicable;NotApplicable;NotApplicable;NotApplicable;0;14;NotApplicable
6305574;6306567;; ; ;;6306567;;; ; ; ;NLE;N; ;LE FRESNE;;AUTHON; ;41310;FR;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6306585;; ; ;;6306585;;; ; ; ;NLE;N; ;RUE VAN EYCK 12;;BRUXELLES; ;1000;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6306665;; ; ;;6306665;;48091054829; ; ; ;NLE;N; ;AVENUE WINSTON CHURCHILL 194/12;;UCCLE; ;1180;BE;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6306951;; ; ;;6306951;;; ; ; ;NLE;N; ;13 GALERIE VIVIENNE;;PARIS; ;75002;FR;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
6305574;6307149;; ; ;;6307149;;; ; ; ;NLE;N; ;2 RUE SALOMON REINACH;;BOULOGNE BILLANCOURT; ;92100;FR;0; ; ; ;NotRequired;-5;NotRequired;NotRequired;NotRequired;NotRequired;0;14;NotApplicable
